,Tissue,Treat,Time,Replicate,Group
M1,Muscle,Starved,Starved,1,C1
M10,Muscle,Starved,Starved,2,C1
M19,Muscle,Starved,Starved,3,C1
M2,Muscle,Control,30 Minute,1,C2
M11,Muscle,Control,30 Minute,2,C2
M20,Muscle,Control,30 Minute,3,C2
M4,Muscle,Control,1 Hour,1,C3
M13,Muscle,Control,1 Hour,2,C3
M22,Muscle,Control,1 Hour,3,C3
M6,Muscle,Control,2 Hour,1,C4
M15,Muscle,Control,2 Hour,2,C4
M24,Muscle,Control,2 Hour,3,C4
M8,Muscle,Control,4 Hour,1,C5
M17,Muscle,Control,4 Hour,2,C5
M26,Muscle,Control,4 Hour,3,C5
M3,Muscle,Rapa,30 Minute,1,R2
M12,Muscle,Rapa,30 Minute,2,R2
M21,Muscle,Rapa,30 Minute,3,R2
M5,Muscle,Rapa,1 Hour,1,R3
M14,Muscle,Rapa,1 Hour,2,R3
M23,Muscle,Rapa,1 Hour,3,R3
M7,Muscle,Rapa,2 Hour,1,R4
M16,Muscle,Rapa,2 Hour,2,R4
M25,Muscle,Rapa,2 Hour,3,R4
M9,Muscle,Rapa,4 Hour,1,R5
M18,Muscle,Rapa,4 Hour,2,R5
M27,Muscle,Rapa,4 Hour,3,R5